model,gene,top_celltype
PMC9468367_ICD_lncRNA_HCC,LINC01224,Malignant cells
PMC9468367_ICD_lncRNA_HCC,GABPB1-AS1,Malignant cells
PMC9720162_ICD_lncRNA_HCC,TMEM220-AS1,Malignant cells
PMC9720162_ICD_lncRNA_HCC,LINC01554,Malignant cells
PMC10616163_chromatin_HCC,PPARGC1A,Malignant cells
PMC10616163_chromatin_HCC,DUSP1,T cells
PMC10616163_chromatin_HCC,APOBEC3A,TAMs
PMC10616163_chromatin_HCC,HDAC11,Malignant cells
PMC10616163_chromatin_HCC,HMGB2,T cells
PMC10616163_chromatin_HCC,APOBEC3B,B cells
PMC11866598_telomere_HCC,ASF1A,Malignant cells
PMC11866598_telomere_HCC,CDCA8,Malignant cells
PMC11866598_telomere_HCC,HMMR,Malignant cells
PMC11866598_telomere_HCC,IPO13,Malignant cells
PMC11866598_telomere_HCC,MT3,TAMs
PMC11866598_telomere_HCC,MYCN,Malignant cells
PMC11866598_telomere_HCC,PPM1G,Malignant cells
PMC11866598_telomere_HCC,RAD54B,Malignant cells
PMC11866598_telomere_HCC,RRAGC,Malignant cells
PMC11866598_telomere_HCC,RTN3,Malignant cells
PMC11866598_telomere_HCC,RUVBL1,Malignant cells
PMC11866598_telomere_HCC,SAP30,Malignant cells
PMC11866598_telomere_HCC,SLC7A11,Malignant cells
PMC11866598_telomere_HCC,SMG5,Malignant cells
PMC11866598_telomere_HCC,TALDO1,Malignant cells
PMC11866598_telomere_HCC,TCOF1,TAMs
PMC11866598_telomere_HCC,TRAPPC4,Malignant cells
PMC11866598_telomere_HCC,UAP1L1,Malignant cells
PMC11760997_senescence_STAD,HHIP-AS1,Fibroblasts
PMC11760997_senescence_STAD,LINC01589,Epithelial
PMC11760997_senescence_STAD,LINC01615,Fibroblasts
PMC11760997_senescence_STAD,STARD4-AS1,Fibroblasts
PMC12399450_mitochondrial_STAD,ATP8A2,Endothelial
PMC12399450_mitochondrial_STAD,TARS2,Epithelial
PMC12399450_mitochondrial_STAD,COX15,Epithelial
PMC9767988_pyroptosis_lncRNA_STAD,TUG1,Epithelial
PMC9767988_pyroptosis_lncRNA_STAD,JPX,Epithelial
PMC9767988_pyroptosis_lncRNA_STAD,MGC12916,Mono/Macro
PMC9614251_glycolysis_lncRNA_STAD,AC010719.1,Plasma
PMC9614251_glycolysis_lncRNA_STAD,AC009948.1,DC
PMC9614251_glycolysis_lncRNA_STAD,AL355574.1,Epithelial
PMC9092832_hypoxia_lncRNA_digestive_panCancer,LUCAT1,Mono/Macro
PMC9092832_hypoxia_lncRNA_digestive_panCancer,MIR4435-2HG,Plasma
PMC9092832_hypoxia_lncRNA_digestive_panCancer,AP000695.2,Epithelial
PMC9092832_hypoxia_lncRNA_digestive_panCancer,ADAMTS9-AS2,Fibroblasts
PMC10046686_pyroptosis_lncRNA_STAD,LINC01315,Epithelial
PMC10046686_pyroptosis_lncRNA_STAD,AP003392.1,Fibroblasts
PMC10046686_pyroptosis_lncRNA_STAD,AP000695.2,Epithelial
PMC10046686_pyroptosis_lncRNA_STAD,HAGLR,Endothelial
PMC10046686_pyroptosis_lncRNA_STAD,AL590666.2,Epithelial
PMC8994655_autophagy_lncRNA_STAD,LINC01094,DC
PMC8994655_autophagy_lncRNA_STAD,AC005165.1,Fibroblasts
PMC8994655_autophagy_lncRNA_STAD,LINC00106,Epithelial
PMC11634757_lactylation_STAD,COL4A1,Endothelial
PMC11634757_lactylation_STAD,SLC16A7,Fibroblasts
PMC11634757_lactylation_STAD,IRAK1,Epithelial
PMC8291813_cGASSTING_STAD,IL6,Mono/Macro
PMC8291813_cGASSTING_STAD,NFKB2,DC
PMC8291813_cGASSTING_STAD,TRIM25,Epithelial
PMC10339815_DDR_lncRNA_STAD,LINC00106,Epithelial
PMC10339815_DDR_lncRNA_STAD,AL590705.3,Fibroblasts
PMC10339815_DDR_lncRNA_STAD,AC007405.3,Epithelial
PMC13083393_autophagy_BRCA,ATG5,Cancer Epithelial
PMC13083393_autophagy_BRCA,SLC1A4,Cancer Epithelial
PMC13083393_autophagy_BRCA,AKT3,Endothelial
PMC13083393_autophagy_BRCA,CLTA,Cancer Epithelial
PMC13083393_autophagy_BRCA,HSPA2,Cancer Epithelial
PMC13083393_autophagy_BRCA,MAP2K5,Cancer Epithelial
PMC13083393_autophagy_BRCA,MAP1LC3B,Endothelial
PMC13083393_autophagy_BRCA,ITPR1,Endothelial
PMC13083393_autophagy_BRCA,DDIT4,T-cells
PMC13083393_autophagy_BRCA,RPS6KA3,Endothelial
PMC13083393_autophagy_BRCA,DAPK1,Myeloid
PMC13406258_PCDgenes_BRCA,BRSK2,PVL
PMC13406258_PCDgenes_BRCA,CD24,Cancer Epithelial
PMC13406258_PCDgenes_BRCA,IFNG,T-cells
PMC13406258_PCDgenes_BRCA,LAMB3,Normal Epithelial
PMC13406258_PCDgenes_BRCA,PDX1,Cancer Epithelial
PMC13406258_PCDgenes_BRCA,PMAIP1,Normal Epithelial
PMC13406258_PCDgenes_BRCA,SLC7A11,Cancer Epithelial
PMC13406258_PCDgenes_BRCA,TRIML2,Cancer Epithelial
PMC11855622_mitophagyE3_BRCA,ARIH1,Cancer Epithelial
PMC11855622_mitophagyE3_BRCA,SIAH2,Cancer Epithelial
PMC11855622_mitophagyE3_BRCA,UBR5,Cancer Epithelial
PMC11855622_mitophagyE3_BRCA,WWP2,Myeloid
PMC9035888_autophagy_BRCA,EIF4EBP1,Cancer Epithelial
PMC9035888_autophagy_BRCA,IFNG,T-cells
PMC9035888_autophagy_BRCA,TP63,Normal Epithelial
PMC11085026_ESR_BRCA,ELOVL2,Cancer Epithelial
PMC11085026_ESR_BRCA,IFNG,T-cells
PMC11085026_ESR_BRCA,IGF2BP1,Cancer Epithelial
PMC11085026_ESR_BRCA,MAP2K6,Normal Epithelial
PMC11085026_ESR_BRCA,MZB1,Plasmablasts
